K-GW-070-585;7-21-K00391-2
K-GW-078-585;7-21-K00389-2
K-GW-085-585;7-21-K00384-2
K-GW-096-585;7-25-KB00400-2
K-GW-105-585;7-4-K00466-2
N-GW-080-585;11-21-N00184-2
N-GW-135-585;3-4-CN00211-2
N-GW-146-585;3-4-CN00243-2
N-GW-161-585;3-14-CN00253-2
Z-GW-007-585;6-20-Z00081-2
Z-GW-032-585;6-4-Z00150-2
Z-GW-039-585;6-20-Z00151-2
N-GW-025-585;3-25-CN00238-2
N-GW-059-585;3-4-CN00036-2
N-GW-050-585;3-4-CN00223-2
N-GW-005-585;3-16-CN00062-2
B-GW-023-585;2-25-B00316-2
B-GW-029-585;2-25-B00302-2
B-GW-035-585;2-25-B00308-2
B-GW-040-585;2-25-B00306-2
K-GW-057-585;7-4-K00420-2
K-GW-097-585;7-4-K00434-2
N-GW-099-585;3-4-CN00207-2
N-GW-104-585;3-4-CN00239-2
N-GW-124-585;3-4-CN00208-2
N-GW-128-585;3-25-CN00237-2
N-GW-176-585;3-25-CN00193-2
Z-GW-029-585;6-20-Z00113-2
Z-GW-035-585;6-15-Z00151-2
Z-GW-057-585;6-3-Z00160-2
K-GW-072-585;7-25-KB00402-2
B-GW-021-585;2-25-B00309-2
B-GW-032-585;2-25-B00317-2
B-GW-034-585;2-14-B00381-2
K-GW-055-585;7-21-K00394-2
K-GW-090-585;7-21-K00392-2
K-GW-094-585;7-4-K00405-2
N-GW-082-585;3-4-CN00212-2
N-GW-100-585;3-4-CN00213-2
N-GW-103-585;3-4-CN00150-2
N-GW-116-585;3-4-CN00151-2
N-GW-121-585;11-4-N00137-2
N-GW-125-585;3-4-CN00214-2
Z-GW-043-585;7-15-Z00154-2
MD-GW-004-585;5-9-M00003-2
MD-GW-010-585;5-9-M00005-2
Z-GW-015-585;6-20-Z00088-2
Z-GW-024-585;6-20-Z00108-2
Z-GW-005-585;6-20-Z00078-2
B-GW-031-585;2-25-B00305-2
B-GW-039-585;2-25-B00301-2
K-GW-054-585;7-21-K00393-2
K-GW-056-585;7-4-K00419-2
K-GW-104-585;7-21-K00383-2
K-GW-109-585;7-4-K00261-2
K-GW-119-585;7-4-K00319-2
N-GW-070-585;3-25-CN00194-2
N-GW-077-585;3-4-CN00215-2
N-GW-083-585;3-4-CN00224-2
N-GW-129-585;11-4-N00027-2
N-GW-160-585;3-4-CN00204-2
Z-GW-038-585;6-20-Z00101-2
Z-GW-047-585;6-3-Z00158-2
MD-GW-008-585;5-15-M00020-2
K-GW-107-585;7-4-K00341-2
Z-GW-004-585;6-20-Z00077-2
Z-GW-011-585;6-20-Z00084-2
Z-GW-028-585;6-20-Z00112-2
N-GW-002-585;3-25-CN00197-2
N-GW-004-585;3-4-CN00240-2
K-GW-087-585;7-17-K00455-2
K-GW-116-585;7-4-K00260-2
K-GW-122-585;7-21-K00380-2
N-GW-112-585;3-4-CN00221-2
N-GW-152-585;3-4-CN00232-2
K-GW-023-585;7-4-K00443-2
Z-GW-042-585;6-20-Z00069-2
K-GW-108-585;7-21-K00388-2
K-GW-118-585;7-21-K00292-2
